empresas,serviços_prestados
Grupo I - Superior a 50 Milhões de reais,1
Grupo II - De 20 Milhões a 50 Milhões de reais,1
Grupo III - De 6 Milhões a 20 Milhões de reais,4
"Grupo IV - De 4,8 Milhões a 6 Milhões de reais",12
"Empresa de Pequeno Porte -  De 360 Mil a 4,8 Milhões de reais",23
Microempresa - Igual ou inferior a 360 mil reais,59
